Webpage,Organization,Camp Name,Camp Description,Start Age,End Age,Start Grade,End Grade,Start Date,End Date,Start Time,End Time,Pre/After Care,Registration,Cost,Location,City,Notes
https://breadandbutterfarm.com/summer-camp,Bread and Butter Farm,Artisans / Arts & Crafts,"This week will focus on cultivating our creative spirits! From flower crowns to fairy houses, painting and ceramics, we’ll explore different ways of bringing our imaginations out into the beauty of the world around us. Artisans week will culminate in a craft fair showing off your camper's hard work and ingenuity.",5,12,K,6,6/29/2026,7/3/2026,09:00 AM,03:00 PM,Yes,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)",,200 Leduc Farm Rd,Shelburne,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)
We ask that families limit themselves to a maximum of THREE weeks per camper (no limit for MITs); if you register for more than this, we will be in touch with you to reduce that number to three. This will help us share the Vermont farm camp experience with as many children as possible. A note about camp enrollment: We realize that our camp weeks fill up quickly, and we acknowledge that this can be frustrating for those who don’t get a spot. It might help to know that we view our summer camp program as part of the overall Bread & Butter Farm experience. This is why our sign-up days are staggered in order to give our farm members a greater likelihood of enrollment. We wish we could take all the campers off our waitlist (for some weeks, our waitlist is more than 100 names long), but our program is intentionally small, and we can’t take everyone. Our Annual Members (who participate on a deeper level with our farm year-round) - if enrolled as members prior to January 1st - are given first choice of our camp weeks, followed by returning camp families who have been with us for years. After that, we are able to open our registration to the general public. This is done with the intention of building deeper relationships and fostering year-round farm engagement.
If you come to enroll for camp and find that your desired week(s) are full, we do encourage to place your child on our waitlist. Most of our returning camp families originally came from our waitlists! If and when spots open up, we will be in touch."
https://breadandbutterfarm.com/summer-camp,Bread and Butter Farm,Music,"We are so excited to have Music Week again! We brought it back last year and it was such a hit for campers and Mentors alike. No musical experience or expertise is required, as we will have fun musical activities for all to participate in! We will culminate in a Variety Show at the end of the week and we will celebrate music of all genres! Kids who DO play an instrument will be allowed to bring in their instrument (will be arranged individually). There will be ALL the other usually farm activities and our typical camp games and activities.",5,12,K,6,7/6/2026,7/10/2026,09:00 AM,03:00 PM,Yes,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)",,200 Leduc Farm Rd,Shelburne,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)
We ask that families limit themselves to a maximum of THREE weeks per camper (no limit for MITs); if you register for more than this, we will be in touch with you to reduce that number to three. This will help us share the Vermont farm camp experience with as many children as possible. A note about camp enrollment: We realize that our camp weeks fill up quickly, and we acknowledge that this can be frustrating for those who don’t get a spot. It might help to know that we view our summer camp program as part of the overall Bread & Butter Farm experience. This is why our sign-up days are staggered in order to give our farm members a greater likelihood of enrollment. We wish we could take all the campers off our waitlist (for some weeks, our waitlist is more than 100 names long), but our program is intentionally small, and we can’t take everyone. Our Annual Members (who participate on a deeper level with our farm year-round) - if enrolled as members prior to January 1st - are given first choice of our camp weeks, followed by returning camp families who have been with us for years. After that, we are able to open our registration to the general public. This is done with the intention of building deeper relationships and fostering year-round farm engagement.
If you come to enroll for camp and find that your desired week(s) are full, we do encourage to place your child on our waitlist. Most of our returning camp families originally came from our waitlists! If and when spots open up, we will be in touch."
https://breadandbutterfarm.com/summer-camp,Bread and Butter Farm,Athletes,"Calling all athletes! This week at the farm will offer an opportunity to play hard, experience new physical challenges and even learn about where and how competition arose. From wiffle ball to archery, basketball to soccer, slack line to obstacle courses, we invite athletes of all sizes and abilities to come play and train with us but, most of all, to have fun. We will have many opportunities for competition this week AND we will always have non-competitive options for kids to participate in! This week will be a wonderful balance of sports and competition along with grounding land and farm skills and activities. We will culminate in a super fun, silly, olympic style all camp activity! Again, as always, we will have all the usual farm and camp activities in addition to all the movement!",5,12,K,6,7/13/2026,7/17/2026,09:00 AM,03:00 PM,Yes,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)",,200 Leduc Farm Rd,Shelburne,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)
We ask that families limit themselves to a maximum of THREE weeks per camper (no limit for MITs); if you register for more than this, we will be in touch with you to reduce that number to three. This will help us share the Vermont farm camp experience with as many children as possible. A note about camp enrollment: We realize that our camp weeks fill up quickly, and we acknowledge that this can be frustrating for those who don’t get a spot. It might help to know that we view our summer camp program as part of the overall Bread & Butter Farm experience. This is why our sign-up days are staggered in order to give our farm members a greater likelihood of enrollment. We wish we could take all the campers off our waitlist (for some weeks, our waitlist is more than 100 names long), but our program is intentionally small, and we can’t take everyone. Our Annual Members (who participate on a deeper level with our farm year-round) - if enrolled as members prior to January 1st - are given first choice of our camp weeks, followed by returning camp families who have been with us for years. After that, we are able to open our registration to the general public. This is done with the intention of building deeper relationships and fostering year-round farm engagement.
If you come to enroll for camp and find that your desired week(s) are full, we do encourage to place your child on our waitlist. Most of our returning camp families originally came from our waitlists! If and when spots open up, we will be in touch."
https://breadandbutterfarm.com/summer-camp,Bread and Butter Farm,Animals,"Learn about the animals on the farm and in our natural surroundings. What does it take to properly care for these creatures? How do we balance the responsibility of raising and working with our farm animals vs. the wild animals that live on this land and contribute to its health and beauty. From farm cats to barred owls, from cows and pigs, to snakes, opportunities will abound for animal lovers to engage. Campers will learn to care for, connect with, and respect the animals that form our land and farm community.",5,12,K,6,7/20/2026,7/24/2026,09:00 AM,03:00 PM,Yes,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)",,200 Leduc Farm Rd,Shelburne,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)
We ask that families limit themselves to a maximum of THREE weeks per camper (no limit for MITs); if you register for more than this, we will be in touch with you to reduce that number to three. This will help us share the Vermont farm camp experience with as many children as possible. A note about camp enrollment: We realize that our camp weeks fill up quickly, and we acknowledge that this can be frustrating for those who don’t get a spot. It might help to know that we view our summer camp program as part of the overall Bread & Butter Farm experience. This is why our sign-up days are staggered in order to give our farm members a greater likelihood of enrollment. We wish we could take all the campers off our waitlist (for some weeks, our waitlist is more than 100 names long), but our program is intentionally small, and we can’t take everyone. Our Annual Members (who participate on a deeper level with our farm year-round) - if enrolled as members prior to January 1st - are given first choice of our camp weeks, followed by returning camp families who have been with us for years. After that, we are able to open our registration to the general public. This is done with the intention of building deeper relationships and fostering year-round farm engagement.
If you come to enroll for camp and find that your desired week(s) are full, we do encourage to place your child on our waitlist. Most of our returning camp families originally came from our waitlists! If and when spots open up, we will be in touch."
https://breadandbutterfarm.com/summer-camp,Bread and Butter Farm,Food,"Food week at Camp B&B is a highlight of the summer, as it celebrates all that the land provides for us as food nourishment! We will celebrate the connections between what we grow and what we eat, highlighting the beauty of being in close connection with the lives we take into ourselves as food, whether plant or animal. This week will focus on the incredible plants growing all around us, and how we can work with them to sustain us, whether as food or health helpers. Kids can expect to sample and enjoy delectable treats from the farm.",5,12,K,6,7/27/2026,7/31/2026,09:00 AM,03:00 PM,Yes,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)","$390 weekly tuition Camp Bread & Butter for Robins (campers aged 5-7) , Coyotes (campers aged 8-10) and Eagles (campers aged 11-12) – 9 weeks available; $390 weekly tuition,",200 Leduc Farm Rd,Shelburne,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)
We ask that families limit themselves to a maximum of THREE weeks per camper (no limit for MITs); if you register for more than this, we will be in touch with you to reduce that number to three. This will help us share the Vermont farm camp experience with as many children as possible. A note about camp enrollment: We realize that our camp weeks fill up quickly, and we acknowledge that this can be frustrating for those who don’t get a spot. It might help to know that we view our summer camp program as part of the overall Bread & Butter Farm experience. This is why our sign-up days are staggered in order to give our farm members a greater likelihood of enrollment. We wish we could take all the campers off our waitlist (for some weeks, our waitlist is more than 100 names long), but our program is intentionally small, and we can’t take everyone. Our Annual Members (who participate on a deeper level with our farm year-round) - if enrolled as members prior to January 1st - are given first choice of our camp weeks, followed by returning camp families who have been with us for years. After that, we are able to open our registration to the general public. This is done with the intention of building deeper relationships and fostering year-round farm engagement.
If you come to enroll for camp and find that your desired week(s) are full, we do encourage to place your child on our waitlist. Most of our returning camp families originally came from our waitlists! If and when spots open up, we will be in touch."
https://breadandbutterfarm.com/summer-camp,Bread and Butter Farm,Wilderness Explorers,"Get ready for forest adventures and exploring more of the 600 acres that we manage! From old(er) growth forest habitats, to early succession meadows, so our pastures and forest edges, we will explore and play all around, we will also challenge campers with exciting survival activities and craft projects. Wilderness explorers week is always a camp favorite!",5,12,K,6,8/3/2026,8/7/2026,09:00 AM,03:00 PM,Yes,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)",,200 Leduc Farm Rd,Shelburne,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)
We ask that families limit themselves to a maximum of THREE weeks per camper (no limit for MITs); if you register for more than this, we will be in touch with you to reduce that number to three. This will help us share the Vermont farm camp experience with as many children as possible. A note about camp enrollment: We realize that our camp weeks fill up quickly, and we acknowledge that this can be frustrating for those who don’t get a spot. It might help to know that we view our summer camp program as part of the overall Bread & Butter Farm experience. This is why our sign-up days are staggered in order to give our farm members a greater likelihood of enrollment. We wish we could take all the campers off our waitlist (for some weeks, our waitlist is more than 100 names long), but our program is intentionally small, and we can’t take everyone. Our Annual Members (who participate on a deeper level with our farm year-round) - if enrolled as members prior to January 1st - are given first choice of our camp weeks, followed by returning camp families who have been with us for years. After that, we are able to open our registration to the general public. This is done with the intention of building deeper relationships and fostering year-round farm engagement.
If you come to enroll for camp and find that your desired week(s) are full, we do encourage to place your child on our waitlist. Most of our returning camp families originally came from our waitlists! If and when spots open up, we will be in touch."
https://breadandbutterfarm.com/summer-camp,Bread and Butter Farm,LEGENDS AND LORE,"(Please note, we usually have ended camp with LEGENDS AND LORE, but this summer, we have one more week later than usual!) This week is an epic week that allows for creative room to explore the legends and history of Bread & Butter Farm and beyond! This week we will spotlight stories and storytelling, poetry and song, and invite our campers to participate once again in the legendary Dragon Quest. Mentors are known to get a little wacky and legendary this week, so this week is for the brave campers!!",5,12,K,6,8/10/2026,8/14/2026,09:00 AM,03:00 PM,Yes,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)",,200 Leduc Farm Rd,Shelburne,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)
We ask that families limit themselves to a maximum of THREE weeks per camper (no limit for MITs); if you register for more than this, we will be in touch with you to reduce that number to three. This will help us share the Vermont farm camp experience with as many children as possible. A note about camp enrollment: We realize that our camp weeks fill up quickly, and we acknowledge that this can be frustrating for those who don’t get a spot. It might help to know that we view our summer camp program as part of the overall Bread & Butter Farm experience. This is why our sign-up days are staggered in order to give our farm members a greater likelihood of enrollment. We wish we could take all the campers off our waitlist (for some weeks, our waitlist is more than 100 names long), but our program is intentionally small, and we can’t take everyone. Our Annual Members (who participate on a deeper level with our farm year-round) - if enrolled as members prior to January 1st - are given first choice of our camp weeks, followed by returning camp families who have been with us for years. After that, we are able to open our registration to the general public. This is done with the intention of building deeper relationships and fostering year-round farm engagement.
If you come to enroll for camp and find that your desired week(s) are full, we do encourage to place your child on our waitlist. Most of our returning camp families originally came from our waitlists! If and when spots open up, we will be in touch."
https://breadandbutterfarm.com/summer-camp,Bread and Butter Farm,Knoll Adventures,"Camp B&B takes to the woods for a whole week! We’ll re-wild ourselves by practicing wilderness survival skills such as orienteering, fire building, and foraging, singing songs and taking time to become comfortable in the mysteries of the forests and lands to which we belong. We will explore our woods further afield and allow ourselves more adventure beyond camp base.",5,12,K,6,8/17/2026,8/12/2026,09:00 AM,03:00 PM,Yes,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)",,200 Leduc Farm Rd,Shelburne,"Annual Members (signed up by December 31st) will have early access enrollment from January 19-23. (Details coming via email.)
Returning camp families will begin enrollment in late January or early February. (Date is being finalized; details coming via email.)
New camp families will begin enrollment two days after the returning families. (Details and enrollment link will be posted on this page!)
We ask that families limit themselves to a maximum of THREE weeks per camper (no limit for MITs); if you register for more than this, we will be in touch with you to reduce that number to three. This will help us share the Vermont farm camp experience with as many children as possible. A note about camp enrollment: We realize that our camp weeks fill up quickly, and we acknowledge that this can be frustrating for those who don’t get a spot. It might help to know that we view our summer camp program as part of the overall Bread & Butter Farm experience. This is why our sign-up days are staggered in order to give our farm members a greater likelihood of enrollment. We wish we could take all the campers off our waitlist (for some weeks, our waitlist is more than 100 names long), but our program is intentionally small, and we can’t take everyone. Our Annual Members (who participate on a deeper level with our farm year-round) - if enrolled as members prior to January 1st - are given first choice of our camp weeks, followed by returning camp families who have been with us for years. After that, we are able to open our registration to the general public. This is done with the intention of building deeper relationships and fostering year-round farm engagement.
If you come to enroll for camp and find that your desired week(s) are full, we do encourage to place your child on our waitlist. Most of our returning camp families originally came from our waitlists! If and when spots open up, we will be in touch."
https://www.burlingtoncityarts.org/event/summer-camps,Burlington City Arts,,,,,,,,,,,,"Burlington Residents February 5 at 12 pm until Thursday, February 6 at 11:59 pm",Full payment is required to secure a space.,135 Church Street,Burlington,
https://discgolfvermont.com/services/disc-golf-summer-camps/,Burlington Disk Golf Summer Camp,,,,,,,,,,,,,,,Burlington,
